,id,text,bias
61,62,"Occupation is such an activity through which a person acquires resource for livelihood viz resource might be in the form of cash or kind and this acquired resource is called his income . 
",0
62,63,". The table below shows the data on likely heights of boys and girls as they grow in age. Draw graphs showing height and age for both boys and girls on the same graph paper. What conclusions can be drawn from these graphs? 
",0
63,64,"Think of the following situation: You are all helping your teacher to rearrange the classroom and she asks you to move her desk from one side of the classroom to the other. How would you do that? The desk is too heavy for you to lift, so how do you get it across the classroom? 
",0
64,65,"II Semi crouch start and body position : The runner places his strong leg toe on the command ' on your mark ' . 
",0
65,66,"The only food that man eats produced by the insects is honey . 
",0
66,67,"His father was Varadappa Nayaka and mother Leelavathi . 
",0
67,68,"(iii) When a consumer feels that he has been exploited, he must file a case in the District Consumer Court. 
",0
68,69,"His term of office is five years . 
",0
69,70,"An important step which led to man 's progress is the discovery of agriculture . 
",0
70,71,"In the space below, explain what you think the role of the male and female bodies are in reproduction. 
",0
71,72,"Businessmen and small-scale producers of goods, in particular, began to realise that uniform laws, standardised weights and measures, and a common national currency would facilitate the movement and exchange of goods and capital from one region to another. 
",0
72,73,"The runner should keep his neck and face relaxed while running . 
",0
73,74,"He even tries accelerate speed in the last ve to ten metres of the distance . 
",0
74,75,"At the stage of implementation , she has to take decision on how , by whom and where these jobs will be done . 
",0
75,76,"The cell which results after fusion of the gametes is called a zygote. The process of fusion of male and female gametes (to form a zygote) is called fertilisation (Fig. .). The zygote develops into an embryo. 
",0
76,77,"What is the difference between the climber's potential energy when she is at the top of the slope compared to when she reaches the bottom? 
",0
77,78,"around. At about oclock in the morning there is a lot of activity on the beach. This is the time when the catamarans return with their catch and women gather to buy and sell fish. 
",0
78,79,"He places this foot at angle close with the center line . 
",0
79,80,"Look carefully at the painting and identify the objects which are political symbols you saw in Box (broken chain, red cap, fasces, Charter of the Declaration of Rights). The pyramid stands for equality, often represented by a triangle. Use the symbols to interpret the painting. Describe your impressions of the female figure of liberty. 
",0
80,81,"Man knows about the art of bee keeping in the regions of early civilization. 
",0
81,82,"The owner of the land himself takes part in this type of agriculture . 
",0
82,83,"In other words , men do not get the resources which are needed to satisfy the unlimited wants . 
",0
83,84,"When a teacher explains something to his or her students in class , he talks to them . 
",0
84,85,"The progress in information technology has brought knowledge literally at the finger-tip of man . 
",0
85,86,"A home satisfies man ' s needs and settles their grievances . 
",0
86,87,"You might have observed your mother boiling the milk before using or storing it. 
",0
87,88,"Well ahead of the festival , people clean their houses and throughout Pongal Rangoli days , women decorate their houses with colourful . 
",0
88,89,"To which class does man belong ? 
",0
89,90,"People have been interested in science from the earliest times. Early man discovered how to process natural ores into metals for ornaments, weapons and tools. At least years ago, ancient people were already using embalming fluids (chemicals) obtained from plants to preserve the bodies of dead people and animals! 
",0
90,91,"Rayon is a man - made fibre . 
",0
91,92,"They call durian the king of fruits . 
",0
92,93,"Nation constitutes the largest community among all the groups of man . 
",0
93,94,"A mountain climber who is climbing a mountain in the Drakensberg during winter, by mistake drops her water bottle which then slides down the side of a steep icy slope to a point which is m lower than the climber's position. The mass of the climber is and her water bottle has a mass of . 
",0
94,95,"The nature is at her best in this division . 
",0
95,96,"Is the number and sizes of cells in both man and elephant the same? 
",0
96,97,"Talk to a shop owner in a market and find out how he plans his work. Have there been any changes in his business in the past twenty years? 
",0
97,98,"From the very ancient periods men used to apply ointments on their faces and on special parts of the body to increase the beauty , for religious reasons , in wars , and many festivals and to protect the skin from excessive cold or heat . 
",0
98,99,"RESPIRATION IN MAN : The human respiratory system consists of nose , nasal cavity , trachea , bronchi and lungs . 
",0
99,100,"His personality is enhanced . 
",0
100,101,"So it is his responsibility to maintain it . 
",0
101,102,"Types of pole dive : - a. Pole dive after taking two steps ( Distal Method ) : - The active chaser who takes kho in the eighth square , for pole dive takes the leg opposite to the direction of travel , placed first towards the pole , the second step is taken in the free zone , simultaneously the chaser takes support of the pole with right thigh and hooking the elbow of left hand around the pole and leans across the centre line , simultaneously he swings the free arm parallel to the ground . 
",0
102,103,". In Activity your teacher suggested not to harm other plants when you collect plants for observations. Why did she suggest so? 
",0
103,104,"He got people from his village, ensured them jobs, helped them settle in the city and provided them money in times of crisis. The jobber therefore became a person with some authority and power. He began demanding money and gifts for his favour and controlling the lives of workers. 
",0
104,105,"Why is there a security guard at the gate? Enact how the watchman behaves. Who does he allow/ not allow? 
",0
105,106,"A person ' s satisfaction in food and good health are closely linked with good nutrient food that are taken by him . 
",0
106,107,"They live as an endoparasite in the intestine of man . 
",0
107,108,"Towards Man Hope you have understood that complex organisms are formed from simpler organisms . 
",0
108,109,"In this form of businesses the owner ' s responsibilities are unlimited as he is alone to share the profit and the loss of the business . 
",0
109,110,"There is a reward for every work done by a man . 
",0
110,111,"Manor An estate consisting of the lord s lands and his mansion 
",0
111,112,"Galileo was also a remarkable craftsman. He developed a series of telescopes whose optical performance was much better than that of other telescopes available during those days. Around , he designed the first pendulum clock. In his book Starry Messenger on his astronomical discoveries, Galileo claimed to have seen mountains on the moon, the milky way made up of tiny stars, and four small bodies orbiting Jupiter. In his books Discourse on Floating Bodies and Letters on the Sunspots , he disclosed his observations of sunspots. 
",0
112,113,"It is the boys of this age who generally perform all outdoor work of the family . 
",0
113,114,"Your friend is sitting on a chair in that room. You are not visible to him in the mirror. 
",0
114,115,"Let us observe how your mother cooks, you also can observe how a cycle mechanic repairs a cycle, try to observe how farmer ploughs his field. 
",0
115,116,"Women are more active in goat rearing . 
",0
116,117,"Both family and society consist of man . 
",0
117,118,"Calculate the astronaut's weight on Earth if his mass is kg. [ marks] 
",0
118,119,"Mothers will first ascertain whether the taste of the food is alright or not . 
",0
119,120,"Such a man 
",0
120,121,"Whether increase in corporate tax or sales tax affects the living condition of common man ? 
",0
121,122,"His father ' s name was Monsur Rahman and mother ' s name was Jahanara Khatun . 
",0
122,123,"His official residence is the Rashtrapati Bhavan . 
",0
123,124,"OUT SIDE THE GROUND : - When a dodger loses contact of both his feet and touches the area outside the ground it is said to be outside the ground . 
",0
124,125,"She also exports tobacco , sago , different spices , coconut kernel and oil , coffee and products of cottage industries . 
",0
125,126,"Eat like a king in the morning . 
",0
126,127,"If she puts on a saree and a blouse of contrast colour , she will look shorter . 
",0
127,128,". One medical store owner is giving antibiotics to his customer who is suffering from fever without a doctor s prescription? 
",0
128,129,"In his absence vice president will presides over the meetings . 
",0
129,130,"For example , if the home manager is interested to invite others on any special occasion or in shopping and if she can do it with enthusiasm , this very quality can inspire the children of the family as well . 
",0
130,131,"Loris Man Chimpanzee Gorilla Orangutan Tarsier Lemur Gibbon Monkey Prosimians Nocturnal Solitary Feeds on small insects Cercopithecoidea Diurnal Colonial life Food-fruits and leaves Hominoidea 
",0
131,132,"He will discharge the functions of the President during the absence of the President . 
",0
132,133,"A radical nationalist, with socialist leanings, Bose did not share Gandhiji s ideal of ahimsa, though he respected him as the Father of the Nation . In January , he secretly left his Calcutta home, went to Singapore, via Germany, and raised the Azad Hind Fauj or the Indian National Army (INA), to free India from British control. In the INA tried to invade India through Imphal and Kohima but the campaign failed. The INA members were imprisoned and tried. People across the country, from all walks of life, participated in the movement against the INA trials. 
",0
133,134,"But the young women wear it more frequently . 
",0
134,135,"Every citizen has the right to cast his or her votes . 
",0
135,136,"etc. , cause Communicable Parasitic bacteria , protozoans , various viruses , communicable diseases in man . 
",0
136,137,"By Termination : Any citizen of India in the event of securing the citizenship of another country , his citizenship of India will be cancelled legally without expecting his application form for registration . 
",0
137,138,"One who told Do , he will go one step backward and all stand in attention position . 
",0
138,139,"Observe Figure . and compare the structure humerus ulna metacarpals carpals radius Forelimb of Man Forelimb of crocodile Flipper of whale Wing of bird Fig. . Structure of the forelimbs of organisms 
",0
139,140,"Also, he has to get them married at some point of time so he doesn t want to spend on their education now. 
",0
140,141,". In what way is the class monitor misusing his power? 
",0
141,142,"To make herself a woman of striking personality , a home manager should possess some other qualities like impartiality , patience , cheerfulness , righteousness and flexibility . 
",0
142,143,"Man has imbibed the qualities of running , throwing and jumping , right from the ancient times from Nature . 
",0
143,144,"A girl of bright complexion can wear clothing of any colour . 
",0
144,145,"Start : The action a runner performs to push his body from a stationery position to a running position in quick time is called start . 
",0
145,146,"Many people think that men lived in small families from the primitive period . 
",0
146,147,"solar energy : Sun is the foremost energy source that makes life possible on our earth.Solar energy has been used by man from ancient times . 
",0
147,148,"Even he / she tries to help others at the cost of his own interest . 
",0
148,149,"In fine , it is the duty of a housewife to express kindness towards the servants by measuring their physical ability and psychological attitude . 
",0
149,150,"The mother ' s contribution in helping the child to develop self confidence is very great . 
",0
150,151,"Therefore the new plant grown from this seed is not identical with the mother plant . 
",0
151,152,"Due to these advantages , the mothers should help their child sleep in inverted position when the child attains two to three months of its age . 
",0
152,153,"The first proof of this association is evident from the rock paintings made by the primitive man thousands of years ago. 
",0
153,154,"To make the business or production survive he has to produce new goods , find out new sources of raw materials and widen markets for the goods . 
",0
154,155,"Styles in long jump : Action in the Air - Sail Technique : While in the air : After taking a jump athlete should bring both his feet forward and raise them as high as possible and body should lean forward , arms should be on side of the feet . 
",0
155,156,"One hundred and fifty years ago the first Indian cricketers, the Parsis, had to struggle to find an open space to play in. Today, the global marketplace has made Indian players the best-paid, most famous cricketers in the game, men for whom the world is a stage. The history that brought about this transformation was made up of many smaller changes: the replacement of the gentlemanly amateur by the paid professional, the triumph of the one-day game as it overshadowed Test cricket in terms of popularity, and the remarkable changes in global commerce and technology. The business of history is to make sense of change over time. In this chapter we have followed the spread of a colonial sport through its history, and tried to understand how it adapted to a post-colonial world. 
",0
156,157,"For boys clothes also should be selected based on features or bodies . 
",0
157,158,"He works in the office , industries , fields and runs business . 
",0
158,159,"Environment : Surroundings or the conditions under which a person or thing exists and develops his or its character. It covers both physical and cultural elements. 
",0
159,160,"They went to that person and gave him all the money they collected. 
",0
160,161,"If a home manager acquires this quality , she will be able to behave well with others and convince all . 
",0
161,162,"Which group of organisms has the most proximity to man ? 
",0
162,163,"If man wears beautiful designed clean clothes he feels happy . 
",0
163,164,"He wins the heart of the people easily by gentle behaviour and good manners . 
",0
164,165,"Cricket in colonial India was organised on the principle of race and religion. The first record we have of cricket being played in India is from , an account of recreational cricket played by English sailors in Cambay. The first Indian club, the Calcutta Cricket Club, was established in . Through the eighteenth century, cricket in India was almost wholly a sport played by British military men and civil servants in all-white clubs and gymkhanas. Playing cricket in the privacy of these clubs was more than just fun: it was also an escape from the strangeness, discomfort and danger of their stay in India. Indians were considered to have no talent for the game and certainly not meant to play it. But they did. 
",0
165,166,"In man rod cells are few and cone cells are more in the yellow spot . 
",0
166,167,"She will not be able to understand all these aspects in a day . 
",0
167,168,"In those days bards and religious story tellers (like harikatha) used to wander around telling stories of the various gods and goddesses like Shiva, Vishnu or Durga or stories of the Ramayana and the Mahabharata. 
",0
168,169,"In other words , Bangla was the mother tongue of the people of East Pakistan . 
",0
169,170,"However , man is paramount among all resources . 
",0
170,171,"On this occasion the lord used to collect several kinds of levies from him . 
",0
171,172,"If he looses the job for some reason , he cannot find employment in other work . 
",0
172,173,"He makes use of that money to purchase goods and services he requires . 
",0
173,174,"His parents were Maadarasa and Madalambike and belonged to Bagevaadi Agrahara . 
",0
174,175,"It was believed that sweat - soaked warm clothing of men and some wheat , if kept together in a box for few days , rats would be produced . 
",0
175,176,"c ) Escaping when the chaser rushes to the pole : In this skill the dodger pushes the pole strongly and changes direction in order to escape from the chaser rushing towards him . 
",0
176,177,"RELATIoNSHIP BETwEEN MAN AND MICRoBES Balances , uses imbalances and All existing things in the world and theuniversearounditmadeupoffive basicelements , theearth , water , fire , - air and space . 
",0
177,178,"When Alivardi Khan died in , Sirajuddaulah became the nawab of Bengal. The Company was worried about his power and keen on a puppet ruler who would willingly give trade concessions and other privileges. So it tried, though without success, to help one of Sirajuddaulah s rivals become the nawab. An infuriated Sirajuddaulah asked the Company to stop meddling in the political affairs of his dominion, stop fortification, and pay the revenues. After negotiations failed, the Nawab marched with , soldiers to the English factory at Kassimbazar, captured the Company officials, locked the warehouse, disarmed all Englishmen, and blockaded English ships. Then he marched to Calcutta to establish control over the Company s fort there. 
",0
178,179,"If mother is a service holder , she also spends money for the family . 
",0
179,180,"On the other hand , the grand fathers and grand mothers think that they are important persons of the family . 
",0
180,181,"Both men and women participated in this game . 
",0
181,182,"The responsibility of an individual to his country is known as the ' duty ' . 
",0
182,183,"Position of hands should be adjusted according to the convenience , his will and the shot coming towards him . 
",0
183,184,"Accidents usually take place due to an individual fault , his carelessness or due to a haste . 
",0
184,185,"The commission has one chairman and five members . 
",0
185,186,"When he approaches the bank he is permitted to withdraw , . 
",0
186,187,"Fossil of this modern man was discovered first in France . 
",0
187,188,"Sound it makes wow , wow Food it eats Where it lives rice , meat kennel Relationship with man friend , guard Sl.No . 
",0
188,189,"It is her duty to look after the tasks to be done . 
",0
189,190,"b) threatens to send his security staff to rough up his neighbour; 
",0
190,191,"An object may appear to be moving for one person and stationary for some other. For the passengers in a moving bus, the roadside trees appear to be moving backwards. A person standing on the road side perceives the bus alongwith the passengers as moving. However, a passenger inside the bus sees his fellow passengers to be at rest. What do these observations indicate? 
",0
191,192,"The reason is very simple. In a democracy the will of the people is supreme. The minister is elected by the people and thus empowered to exercise the will of the people on their behalf. She is finally answerable to the people for all the consequences of her decision. That is why the minister takes all the final decisions. The minister decides the overall framework and objectives in which decisions on policy should be made. The minister is not, and is not expected to be, an expert in the matters of her ministry. The minister takes the advice of experts on all technical matters. But very often experts hold different opinions or place before her more than one option. Depending on what the overall objective is, the minister decides. 
",0
192,193,"Hunting large animals may have taken many days of tracking to distant places this was probably done mostly by men. 
",0
193,194,"Fig. .: A fielder pulls his hands gradually with the moving ball while holding a catch. 
",0
194,195,"( a ) ( b ) ( c ) physics Measuring liquids Measuring cylinder Fig. . Your mother asks you to get milk from the milkman . 
",0
195,196,"For the safety of the home , she should make a proper arrangement of fire extinguishing and drainage system and dumping of the refuse . 
",0
196,197,"He cannot live alone . 
",0
197,198,"At what age are boys and girls on average the same height again? How can you tell this from the graph? 
",0
198,199,"It saves money and at the same time delights her leisure hours . 
",0
199,200,"He should be kept in isolation . 
",0
200,201,"He then places the other leg close to the sitting box of his teammate and bend forward and gives kho using the nearest hand . 
",2
201,202,"On seeing us talking to the workers, Ravi, their employer came over to talk to us. Ravi employs only one or two men workers and several women workers for harvesting groundnut. Men workers are generally engaged to uproot groundnut plant, gather, bundle and carry the bundles to a place. Women are engaged to pluck groundnut pods from the plant. 
",2
202,203,"In this kind of agriculture the farmer engages only the members of his family . 
",2
203,204,"She should ensure a proper security system in placing and preserving all the instrument . 
",2
204,205,"Land is an essential part of man 's life . 
",2
205,206,"Muslim Sultans and Padshahs did not claim to be incarnations of god but Persian court chronicles described the Sultan as the Shadow of God . An inscription in the Quwwat al-Islam mosque explained that God chose Alauddin as a king because he had the qualities of Moses and Solomon, the great lawgivers of the past. The greatest lawgiver and architect was God Himself. He created the world out of chaos and introduced order and symmetry. 
",2
206,207,". Prepare a questionaire to take interview of a yoga teacher or PET sir about asanas and exercises. 
",2
207,208,"The painting is a female allegory of liberty that is, the female form symbolises the idea of freedom. 
",2
208,209,". A person confessed his crime at the police station and the police locked him in jail for months. 
",2
209,210,"A merchant travelling in from Hamburg to Nuremberg to sell his goods would have had to pass through customs barriers and pay a customs duty of about per cent at each one of them. 
",2
210,211,"Man , mosquitoes , flies , cows , birds etc . are animals . 
",2
211,212,". A carpenter who makes wooden furniture, needs accuracy in measurments. Do you ever notice how he measures? How whould you appreciate him. 
",2
212,213,"He participates in the council meetings and provides the required information to the council . 
",2
213,214,"In this system opportunities are created for the use of natural power and material resources for the welfare of man . 
",2
214,215,"You have learnt earlier the structure of a flower. You know that the flowers are the reproductive parts of a plant. The stamens are the male reproductive part and the pistil is the female reproductive part (Fig. .). 
",2
215,216,"That is why a man belongs to upper class or middle class or lower class family . 
",2
216,217,"The buzzing of bees was his first music and the dance of the peacock was his first entertainment . 
",2
217,218,"The farmer in USA works like a businessman and not like a peasant farmer. 
",2
218,219,"He holds the decorated bow along with two slender wooden rods called veesukol . 
",2
219,220,"Affidavit: A signed document submitted to an officer, where a person makes a sworn statement regarding her personal information. 
",2
220,221,"The digestive power of patient becomes weak when he / she is attacked by the disease . 
",2
221,222,"But her agriculture is underdeveloped and productivity is low . 
",2
222,223,"He obtained land as donation from the landlords of Andhra Pradesh . 
",2
223,224,"No man is a saint who is not pure in heart. 
",2
224,225,"He will also lose the ability to move around . 
",2
225,226,"Man is unisexual . 
",2
226,227,"He has the power to recommend the removal of the Ministers to the President . 
",2
227,228,"Fibres can be natural or man-made. 
",2
228,229,"A person as he / she moves along the way of his life growing in age , has to depend on various persons of the family in particular and of the society in general . 
",2
229,230,"Working against gravity The air slows down this skydiver because his parachute has so much surface area . 
",2
230,231,"Try to make fire by striking two flint stones near cotton or dry leaves to get a feel of earliest man s life. 
",2
231,232,"Good habit will be formed in him . 
",2
232,233,"Search for him in your heart, in the heart 
",2
233,234,"Animals , birds and man live on fruits and seeds of plants . 
",2
234,235,"To implement the skill , the raider should have quick leg movements and should posses the ability to stretch out his hand and withdraw it as rapidly as possible . 
",2
235,236,"Determine the maximum velocity that she can reach when she skis to the bottom of the slope. 
",2
236,237,"From ancient time men have known that there are mines under the deep earth ' s crust . 
",2
237,238,"With the development of knowledge and technology , man 's dependance on animals for economic purpose increased . 
",2
238,239,"It is thus possible to fully utilize his ability and skill in production . 
",2
239,240,"For this reason man cannot satisfy all his wants at a time . 
",2
240,241,"Each person goes to a particular place with a tray and takes food according to his choice and then eats . 
",2
241,242,"In the same way one who breathe fast , his life span will get reduced ( Ex : Rabbit and Dog . ) 
",2
242,243,"This is called universal brotherhood . 
",2
243,244,"His father was Karama Chanda Gandhi , mother was Puthalibai . 
",2
244,245,". If you have someone working as a domestic help in your house or locality talk to her and find out a little bit more about her life Who are her family members? Where is her home? How many hours does she work? How much does she get paid? Write a small story based on these details. 
",2
245,246,"Her responsibility does not end only by distributing the work . 
",2
246,247,"It is a process that demands a lot of men and material resourses . 
",2
247,248,"Everybody gets recognition according to his rank by wearing office dress . 
",2
248,249,"Men wear trousers and shirts . 
",2
249,250,"In earlier days Marma men used to wear handloom - woven clothes named doah . 
",2
250,251,"He said , `` A true student will not go after money or status -- he will be committed to obtaining knowledge so that he can help humanity '' . 
",2
251,252,"I am most anxious that girls should not over-exert themselves, or become absorbed in athletic rivalries, and therefore we do not play against the other schools. I think it is better for girls to learn to take an interest in botany, geology etc., and not make country excursions. 
",2
252,253,"He goes there for water but does not get any . 
",2
253,254,"Man can do mistake but a computer does not ; So to finish a work rapidly and accurately we use computer . 
",2
254,255,"In Awadh, peasants were led by Baba Ramchandra a sanyasi who had earlier been to Fiji as an indentured labourer. The movement here was against talukdars and landlords who demanded from peasants exorbitantly high rents and a variety of other cesses. Peasants had to do begar and work at landlords farms without any payment. As tenants they had no security of tenure, being regularly evicted so that they could acquire no right over the leased land. 
",2
255,256,"He will be careful in all his performances . 
",2
256,257,"Men can travel from one place to another easily . 
",2
257,258,"Men for the first time started preserving information when they learnt how to write . 
",2
258,259,"Rs per shirt. The cost of running his office came to Rs per shirt. Can you calculate the profit per shirt for the garment exporter? 
",2
259,260,"He was an adopted son of weaving Muslim couple Neeru and Neema of Varanasi . 
",2
260,261,"His palm and feet are to be rubbed so as to produce heat . 
",2
261,262,"According to him , material culture is created by human beings by converting natural resources into man made structures like House , building , bridge , road , dam , machines , production centres , industries , computer , technology and others . 
",2
262,263,"Generally he is of IAS ( Indian Administrative Services ) cadre . 
",2
263,264,"He helps us to enter the classrooms in time by ringing the bell . 
",2
264,265,"(b) The gramabhojaka often got his land cultivated by the 
",2
265,266,"The land owner does not directly cultivate the land ; he rather employs hired labour . 
",2
266,267,"The science of Economics or economics has emerged as a discipline to discuss how men are engaged in different activities to earn money and how do they endeavour to satisfy unlimited wants with limited means . 
",2
267,268,"Introduction : Man is a social animal and his minimum requirement is food , clothes , shelter , medical care and education . 
",2
268,269,"So , in economics , economic activities mean those activities related to money earning and money spending which men do in their day to day life . 
",2
269,270,"Location : Voluntary muscles remain attached with the skeletal system as muscles of - hand , and feet of man . 
",2
270,271,"Modern cricket is dominated by Tests and one-day internationals, played between national teams. The players who become famous, who live on in the memories of cricket s public, are those who have played for their country. The players Indian fans remember from the era of the Pentangular and the Quadrangular are those who were fortunate enough to play Test cricket. C.K. Nayudu, an outstanding Indian batsman of his time, lives on in the popular imagination when some of his great contemporaries like Palwankar Vithal and Palwankar Baloo have been forgotten because his career lasted long enough for him to play Test cricket for India while theirs did not. 
",2
271,272,"But it is different with men . 
",2
272,273,"After the whistle the chaser can change his direction of run and give kho to a sitting chaser . 
",2
273,274,"Early man used this to extinguish re a ) water c ) wood b ) wind d ) stone . 
",2
274,275,"Why did early man domesticate only some of the animals? 
",2
275,276,"I impeach him in the name of the people of India, whose rights he has trodden under his foot and whose country he has turned into a desert. Lastly in the name of human nature itself, in the name of both the sexes, in the name of every age, in the name of every rank, I impeach the common enemy and oppressor of all. 
",2
276,277,"The earth having a full rotation on her axis for 24 hours , simultaneously moves around the sun on a set route i . e . orbit once in a year . 
",2
277,278,"Now, it is mandatory for every candidate who contests elections to file an affidavit giving details of his property and criminal cases pending against him. 
",2
278,279,"As for example , a singer , by singing and a doctor , by his medical services , create utilities . 
",2
279,280,"To an important degree, a person s age influences what he needs, buys, does and his capacity to perform. 
",2
280,281,"What worried British officials most was the political aim of the Birsa movement, for it wanted to drive out missionaries, moneylenders, Hindu landlords, and the government and set up a Munda Raj with Birsa at its head. The movement identified all these forces as the cause of the misery the Mundas were suffering. The land policies of the British were destroying their traditional land system, Hindu landlords and moneylenders were taking over their land, and missionaries were criticising their traditional culture. 
",2
281,282,"Now let's learn how plants make seeds. In sexual reproduction, half of the male's and half of the female's genetic material (DNA) fuses (combines) to create a new individual with the combined genetic materials of the parent plants or animals. In most animals we can usually easily identify two sexes of animals: a male or a female animal, which each have male and female parts. In angiosperms, the flowers are the sexual organs of the plant. The flowers produce male and female structures that can either be on the same plant or can be on two separate plants. Let us have a closer look at the structures of flowers. 
",2
